geoid,Region,State,age,season,MMWR Year/Week,Deaths from pneumonia and influenza,All Deaths
National,,,0-17 years,2009-10,201008,41,775
National,,,18-64 years,2009-10,201008,707,12398
National,,,65 years and older,2009-10,201008,3579,37051
National,,,0-17 years,2009-10,201009,32,751
National,,,18-64 years,2009-10,201009,737,12503
National,,,65 years and older,2009-10,201009,3604,37133
National,,,0-17 years,2009-10,201010,31,717
National,,,18-64 years,2009-10,201010,713,12427
National,,,65 years and older,2009-10,201010,3670,37119
National,,,0-17 years,2009-10,201011,30,741
National,,,18-64 years,2009-10,201011,698,12353
National,,,65 years and older,2009-10,201011,3541,36257
National,,,0-17 years,2009-10,201012,29,721
National,,,18-64 years,2009-10,201012,697,11993
National,,,65 years and older,2009-10,201012,3390,35629
National,,,0-17 years,2009-10,201013,19,758
National,,,18-64 years,2009-10,201013,638,12277
National,,,65 years and older,2009-10,201013,3363,35835
National,,,0-17 years,2009-10,201014,26,769
National,,,18-64 years,2009-10,201014,676,12338
National,,,65 years and older,2009-10,201014,3300,34709
National,,,0-17 years,2009-10,201015,20,747
National,,,18-64 years,2009-10,201015,646,12071
National,,,65 years and older,2009-10,201015,3077,34313
National,,,0-17 years,2009-10,201016,19,756
National,,,18-64 years,2009-10,201016,561,11838
National,,,65 years and older,2009-10,201016,3002,34056
National,,,0-17 years,2009-10,201017,23,772
National,,,18-64 years,2009-10,201017,599,11819
National,,,65 years and older,2009-10,201017,2995,33765
National,,,0-17 years,2009-10,201018,20,740
National,,,18-64 years,2009-10,201018,608,11949
National,,,65 years and older,2009-10,201018,2915,33622
National,,,0-17 years,2009-10,201019,17,737
National,,,18-64 years,2009-10,201019,635,11995
National,,,65 years and older,2009-10,201019,2819,33662
National,,,0-17 years,2009-10,201020,14,751
National,,,18-64 years,2009-10,201020,572,11781
National,,,65 years and older,2009-10,201020,2834,33059
National,,,0-17 years,2009-10,201021,23,840
National,,,18-64 years,2009-10,201021,507,11730
National,,,65 years and older,2009-10,201021,2730,32991
National,,,0-17 years,2009-10,201022,20,788
National,,,18-64 years,2009-10,201022,551,11891
National,,,65 years and older,2009-10,201022,2686,32551
National,,,0-17 years,2009-10,201023,14,757
National,,,18-64 years,2009-10,201023,558,11908
National,,,65 years and older,2009-10,201023,2742,32360
National,,,0-17 years,2009-10,201024,14,759
National,,,18-64 years,2009-10,201024,556,11953
National,,,65 years and older,2009-10,201024,2609,32481
National,,,0-17 years,2009-10,201025,21,769
National,,,18-64 years,2009-10,201025,540,11733
National,,,65 years and older,2009-10,201025,2588,32195
National,,,0-17 years,2009-10,201026,20,795
National,,,18-64 years,2009-10,201026,548,11884
National,,,65 years and older,2009-10,201026,2587,32046
